踉踉跄跄 liàng liàng qiàng qiàng
正宫娘娘 zhēng gōng niáng niáng
双重标准 shuāng chóng biāo zhǔn
精兵强将 jīng bīng qiáng jiàng
同声相应 tóng shēng xiāng yìng
勉勉强强 miǎn miǎn qiǎng qiáng
竞短争长 jìng duǎn zhēng cháng
账房先生 zhàng fáng xiān sheng
条条框框 tiáo tiáo kuàng kuàng
圣经贤传 shèng jīng xián zhuàn
圣君贤相 shèng jīng xián xiàng
逞强好胜 chěng qiáng hào shèng
长江天堑 cháng jiāng tiān qiàn
长长短短 cháng cháng duǎn duǎn
争强好胜 zhēng qiáng hào shèng
短中抽长 duǎn zhōng chōu cháng
中山狼传 zhōng shān láng zhuàn
拳脚相向 quán jiǎo xiāng xiàng
校短量长 jiào duǎn liáng cháng
争长竞短 zhēng cháng jìng duǎn
正邪相争 zhèng xié xiāng zhēng
青灯黄卷 qīng dēng huáng juàn
善善从长 shàn shàn cóng cháng
敩学相长 zuàn xué xiāng cháng
王侯将相 wáng hóu jiàng xiàng
乘风兴浪 chéng fēng xīng làng
水远山长 shuǐ yuǎn shān cháng
着手成春 zhuó shǒu chéng chūn
转轮手枪 zhuàn lún shǒu qiāng
说长说短 shuō cháng shuō duǎn
争短论长 zhēng duǎn lùn cháng
甚嚣尘上 shèn xiāo chén shàng
转轮圣王 zhuàn lún shèng wáng
蒸气重整 zhēng qì chóng zhěng
车载船装 chē zǎi chuán zhuāng
扇枕温被 shān zhěn wēn chuáng
山中宰相 shān zhōng zǎi xiàng
正身率下 zhèng shēn shuài xià
三长两短 sān cháng liǎng duǎn
上当受骗 shàng dàng shòu piàn
重峦叠嶂 chóng luán dié zhàng
重新装修 chóng xīn zhuāng xīu
逞娇呈美 chěng jiāo chéng měi
萍飘蓬转 píng piāo péng zhuàn
防火长城 fáng huǒ cháng chéng
道长争短 dào cháng zhēng duǎn
盛衰兴废 shèng shuāi xīng fèi
笑脸相迎 xiào liǎn xiàng yíng
广文先生 guǎng wén xiān sheng
横行直撞 héng xíng zhí zhuàng
长城饭店 cháng chéng fàn diàn
重新调整 chóng xīn tiáo zhěng
长篇小说 cháng piān xiǎo shuō
生肖属相 shēng xiào shǔ xiàng
公共行政 gōng gòng xíng zhèng
铢两相称 zhū liǎng xiāng chèn
长荣航空 cháng róng háng kōng
朝鲜战争 cháo xiǎn zhàn zhēng
争长论短 zhēng cháng lùn duǎn
仰天长啸 yǎng tiān cháng xiào
承平盛世 chéng píng shèng shì
双足重茧 shuāng zú chóng jiǎn
庄严宝相 zhuāng yán bǎo xiàng
抢风航行 qiāng fēng háng xíng
项背相望 xiàng bèi xiāng wàng
壮发冲冠 zhuàng fā chōng guàn
更长梦短 gēng cháng mèng duǎn
光电效应 guāng diàn xiào yìng
率尔成章 shuài ěr chéng zhāng
黄钟长弃 huáng zhōng cháng qì
圣经外传 shèng jīng wài zhuàn
黄卷青灯 huáng juàn qīng dēng
遣兵调将 qiǎn bīng diào jiàng
重生爷娘 chóng shēng yé niáng
正中下怀 zhèng zhòng xià huái
九转功成 jiǔ zhuàn gōng chéng
穷形尽相 qióng xíng jìn xiàng
蒙头转向 mēng tóu zhuàn xiàng
赤诚相见 chì chéng xiàng jiàn
调兵遣将 diào bīng qiǎn jiàng
山长水远 shān cháng shuǐ yuǎn
兴衰成败 xīng shuāi chéng bài
穿着讲究 chuān zhuó jiǎng jiu
调停两用 tiáo tíng liǎng yòng
兴兵动众 xīng bīng dòng zhòng
唱筹量沙 chàng chóu liáng shā
作善降祥 zuò shàn jiàng xiáng
山崩钟应 shān bēng zhōng yìng
长街短巷 cháng jiē duǎn xiàng
算命先生 suàn mìng xiān sheng
天兵天将 tiān bīng tiān jiàng
调神畅情 tiáo shén chàng qíng
堂皇冠冕 táng huáng guàn miǎn
长亭短亭 cháng tíng duǎn tíng
胸中万卷 xiōng zhōng wàn juàn
长盛不衰 cháng shèng bù shuāi
兵多将广 bīng duō jiàng guǎng
康乾盛世 kāng qián shèng shì
参横斗转 shēn héng dǒu zhuǎn
史传小说 shǐ zhuàn xiǎo shuō
晃晃悠悠 huàng huǎng yōu yōu
中坚力量 zhōng jiān lì liang
乘胜追击 chéng shèng zhuī jī
造谣中伤 zào yáo zhòng shāng
穷愁潦倒 qióng chóu liáo dǎo
窗明几净 chuāng míng jī jìng
双栖双宿 shuāng qī shuāng sù
阆苑琼楼 làng yuàn qióng lóu
