㐤 dān (qiú)
㐸 qiàn (cì)
㐺 yín (zhòng)
㑌 kuāng (wāng)
㑜 yì (chì)
㑳 zhòu (zhū)
㒀 zhāi (zhǎ)
㒑 kuǐ (huì)
㒔 shú (dú)|(tù)
㒚 yìn (wěn)
㒝 miè (wà)
㒦 lěi (lèi)
㓎 qīn (qìn)|(qǐn)
㓠 diàn (diǎn)
㓡 fǔ (guā)
㓣 qià (gē)
㓩 xuān (jiē)
㓱 tóu (shū)
㓸 zhuō (dōu)
㓹 ruì (cuì)|(jì)
㓺 jiān (qián)
㓾 xī (chí)
㔃 jué (xuē)
㔊 zhǎn (dǎn)
㔋 jiān (lán)
㔌 zòu (cǒu)
㔍 chuā (zhá)
㔏 lì (luǒ)
㔗 fèi (bèi)|(fú)
㔝 liǎng (liáng)
㔠 xiā (hé)
㔢 jué (xuē)
㔥 bài (pí)
㔯 xuán (suǎn)
㔶 gòng (gǎn)
㔾 xiān (jié)
㕂 yín (qín)
㕐 xiě (xiè)
㕟 kuì (kuài)
㕢 gài (hài)
㕫 fǎng (fēng)
㕬 gōng (sòng)
㕭 āo (ào)
㕰 xuè (ma)
㕲 huá (yíng)
㕶 ň (ňg)
㕷 huà (pā)
㖃 hǒu (hòu)
㖕 niè (xīn)
㖧 hūn (wěn)
㖩 jū (sǒu)
㖪 huò (guó)|(xù)
㖶 yān (yè)|(yīn)
㖷 shí (tí)
㖸 xué (niā)
㖹 pēn (fèn)
㖻 niú (ròu)
㖿 xié (yé)
㗃 wěn (hūn)
㗇 xiá (ya)
㗉 lüè (è)
㗊 jí (léi)
㗕 gòu (gōu)
㗙 chū (nà)|(zhōu)
㗢 hóng (dòng)|(hòng)
㗥 kuò (guō)
㗧 zhì (dié)
㗨 xiē (ǎi)
㗳 tǎ (dā)
㗿 hé (xià)|(xiā)
㘈 yì (nǐ)
㘊 xī (yì)
㘕 hǎn (lán)
㘣 xuán (yuán)
㘬 ào (wù)
㘸 zàng (zuò)
㙀 liù (jiù)
㙁 méi (mù)
㙂 duì (wèng)
㙊 cháng (zhàng)
㙔 wěi (hán)
㙠 yī (yì)
㙮 dā (da)
㙳 kǎn (hǎn)
㙷 zhí (zhé)
㙺 kuí (guì)
㚍 kuǐ (kuì)
㚔 niè (xìng)
㚖 gǎo (zé)
㚘 bàn (hè)|(fú)
㚚 kōng (kuāng)
㚜 yù (xù)
㚢 nú (wǔ)
㚰 pēi (bǐ)
㚲 chān (diǎn)|(diàn)
㚶 sì (yí)
㚹 mǎo (liǔ)
㛆 duò (duǒ)
㛍 qiè (xiǎn)|(xiá)
㛔 fēng (péng)
㛕 yì (è)
㛗 qiē (zuō)|(suō)
㛙 xīn (qiè)
㛚 tǒng (yǒng)
㛪 yàn (yān)
㛯 fàn (miǎn)|(zhuàn)
㛱 wěi (wēi)
㛼 chā (shà)
㜇 huì (yè)
㜌 nǒu (gòu)|(kòu)
㜎 xī (xì)
㜗 cān (sēn)
㜘 jù (qù)|(chá)
㜝 ǎn (yǎn)
㜞 qiàn (cán)
㜣 rán (rǎn)
㜤 niǎn (tiǎn)|(tán)
㜮 làn (lán)
㜷 mí (xiǎn)
㝁 xuān (qióng)
㝂 zhì (zhè)
㝗 láng (lǎng)
㝞 yā (yà)
㝵 dé (ài)
㞂 tuǐ (tuì)
㞋 niǎn (jí)
㞎 bǎ (pā)
㞏 zhé (jié)
㞒 xiè (xì)
㞓 qì (jī)
㞖 cí (cì)
㞚 qì (zhǎ)
㞟 diàn (dǐng)
㞤 yín (cén)
㞴 chí (mín)
㟇 cuò (cuó)
㟍 láng (lǎng)
㟎 tuǒ (tuǐ)
㟖 lòng (lóng)
㟪 wēi (wěi)
㟻 qiàn (zhǎn)
㟽 biǎo (biāo)
㟿 mǎng (máng)
㠅 fú (fù)
㠎 jí (jié)
㠥 lǜ (léi)|(lěi)
㠮 pēng (gāng)
㠱 jì (qǐ)
㠺 shā (miáo)
㠿 zī (cǐ)
㡇 zhé (jiē)
